ID,CreationDate,TransactionDate,EmployeeID
1,20/02/2020,19/02/2020,10
2,24/05/2020,22/05/2020,3
3,28/09/2020,26/09/2020,1
4,15/06/2020,14/06/2020,1
5,01/07/2020,30/06/2020,3
6,09/06/2020,08/06/2020,1
7,24/03/2020,22/03/2020,9
8,29/09/2020,28/09/2020,6
9,04/04/2020,03/04/2020,9
10,22/07/2020,20/07/2020,8
11,30/07/2020,29/07/2020,10
12,05/06/2020,04/06/2020,10
13,28/02/2020,26/02/2020,7
14,05/09/2020,04/09/2020,6
15,01/04/2020,30/03/2020,10
16,09/02/2020,07/02/2020,7
17,29/08/2020,27/08/2020,8
18,07/04/2020,06/04/2020,8
19,03/03/2020,01/03/2020,5
20,11/08/2020,10/08/2020,4
21,14/07/2020,13/07/2020,9
22,13/05/2020,11/05/2020,5
23,18/08/2020,16/08/2020,10
24,04/08/2020,02/08/2020,7
25,29/06/2020,28/06/2020,3
26,01/09/2020,30/08/2020,8
27,14/02/2020,13/02/2020,7
28,21/09/2020,20/09/2020,2
29,23/03/2020,22/03/2020,9
30,10/07/2020,09/07/2020,9
31,11/04/2020,09/04/2020,10
32,27/03/2020,26/03/2020,2
33,12/02/2020,11/02/2020,1
34,05/05/2020,03/05/2020,6
35,10/07/2020,09/07/2020,10
36,01/07/2020,30/06/2020,8
37,17/07/2020,15/07/2020,6
38,13/07/2020,12/07/2020,9
39,12/02/2020,10/02/2020,4
40,29/02/2020,27/02/2020,3
41,26/02/2020,25/02/2020,5
42,15/04/2020,13/04/2020,2
43,20/09/2020,19/09/2020,5
44,21/02/2020,20/02/2020,5
45,30/05/2020,28/05/2020,7
46,27/09/2020,26/09/2020,5
47,15/01/2020,14/01/2020,4
48,24/06/2020,22/06/2020,6
49,13/05/2020,12/05/2020,7
50,21/07/2020,20/07/2020,4
51,08/06/2020,06/06/2020,3
52,07/05/2020,06/05/2020,4
53,26/07/2020,24/07/2020,5
54,22/01/2020,21/01/2020,10
55,22/06/2020,20/06/2020,9
56,21/03/2020,20/03/2020,2
57,28/01/2020,26/01/2020,2
58,26/01/2020,24/01/2020,9
59,08/02/2020,06/02/2020,8
60,06/05/2020,05/05/2020,1
61,03/04/2020,02/04/2020,6
62,27/01/2020,26/01/2020,9
63,21/07/2020,19/07/2020,2
64,01/06/2020,31/05/2020,1
65,06/06/2020,04/06/2020,9
66,05/08/2020,04/08/2020,6
67,25/05/2020,23/05/2020,10
68,07/04/2020,05/04/2020,6
69,22/05/2020,21/05/2020,5
70,14/04/2020,12/04/2020,4
71,15/02/2020,14/02/2020,8
72,17/04/2020,15/04/2020,9
73,04/04/2020,03/04/2020,10
74,16/08/2020,15/08/2020,1
75,29/09/2020,28/09/2020,6
76,14/05/2020,13/05/2020,1
77,03/01/2020,01/01/2020,9
78,06/07/2020,05/07/2020,4
79,16/09/2020,15/09/2020,2
80,06/07/2020,05/07/2020,2
81,02/02/2020,01/02/2020,10
82,07/01/2020,06/01/2020,4
83,23/08/2020,21/08/2020,2
84,25/05/2020,24/05/2020,7
85,12/07/2020,10/07/2020,2
86,15/08/2020,13/08/2020,6
87,31/01/2020,30/01/2020,9
88,01/03/2020,29/02/2020,3
89,28/03/2020,27/03/2020,1
90,27/07/2020,25/07/2020,8
91,15/02/2020,14/02/2020,8
92,29/09/2020,27/09/2020,8
93,15/01/2020,14/01/2020,8
94,06/09/2020,04/09/2020,8
95,08/09/2020,07/09/2020,2
96,26/05/2020,24/05/2020,9
97,08/06/2020,06/06/2020,9
98,17/01/2020,16/01/2020,2
99,23/03/2020,21/03/2020,6
100,07/06/2020,06/06/2020,2
101,02/08/2020,31/07/2020,8
102,16/04/2020,16/04/2020,2
103,06/07/2020,04/07/2020,1
104,29/05/2020,28/05/2020,3
105,14/05/2020,14/05/2020,10
106,28/01/2020,26/01/2020,7
107,06/08/2020,06/08/2020,4
108,16/03/2020,16/03/2020,1
109,07/06/2020,05/06/2020,2
110,20/03/2020,20/03/2020,1
111,07/08/2020,07/08/2020,8
112,09/05/2020,09/05/2020,4
113,09/05/2020,07/05/2020,7
114,03/05/2020,01/05/2020,8
115,08/01/2020,08/01/2020,2
116,07/06/2020,07/06/2020,2
117,30/05/2020,30/05/2020,10
118,18/03/2020,17/03/2020,3
119,20/06/2020,19/06/2020,9
120,20/09/2020,20/09/2020,9
121,07/02/2020,06/02/2020,4
122,16/06/2020,16/06/2020,9
123,12/08/2020,11/08/2020,10
124,16/07/2020,14/07/2020,5
125,23/02/2020,22/02/2020,7
126,28/03/2020,26/03/2020,6
127,24/09/2020,24/09/2020,9
128,15/07/2020,14/07/2020,8
129,20/07/2020,20/07/2020,2
130,19/05/2020,18/05/2020,9
131,19/02/2020,19/02/2020,6
132,04/01/2020,03/01/2020,9
133,02/04/2020,31/03/2020,10
134,20/01/2020,19/01/2020,7
135,24/09/2020,22/09/2020,7
136,07/08/2020,07/08/2020,9
137,17/06/2020,15/06/2020,1
138,07/09/2020,06/09/2020,10
139,09/09/2020,08/09/2020,6
140,29/06/2020,28/06/2020,8
141,06/01/2020,06/01/2020,10
142,07/01/2020,05/01/2020,8
143,27/03/2020,27/03/2020,5
144,25/01/2020,23/01/2020,10
145,03/03/2020,01/03/2020,7
146,13/06/2020,13/06/2020,3
147,22/09/2020,22/09/2020,6
148,14/08/2020,13/08/2020,3
149,20/08/2020,19/08/2020,8
150,04/02/2020,02/02/2020,5
151,28/06/2020,28/06/2020,2
